Transaction Date,Created Date,Order ID,Currency Code,Amount,Service Tax Collected,Swachh Bharat Cess,Order Total,Payment Status,Order Status,Course Title,SC ID
4/30/2016 7:43,4/30/2016 6:43,32288,INR,8412,1178,42,9632,success,completed,Digital Marketing Certification,SCG7CR
4/30/2016 5:45,4/30/2016 5:38,32273,INR,4362,611,22,4994,success,completed,Online Android App Development,SC0159
4/30/2016 7:18,4/30/2016 5:37,32272,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/30/2016 5:31,4/30/2016 5:24,32269,INR,10500,1470,53,12023,success,completed,Advanced Business Analytics with R,SCG7CR
4/30/2016 6:32,4/30/2016 5:23,32268,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
4/30/2016 5:26,4/30/2016 5:19,32267,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/30/2016 5:08,4/30/2016 4:59,32261,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/30/2016 4:59,4/30/2016 4:52,32259,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0159
4/8/2016 12:00,4/30/2016 4:48,32258,INR,7500,1050,38,8588,canceled,canceled,Digital Marketing Certification,
4/30/2016 4:28,4/30/2016 4:24,32256,INR,9518,1333,48,10898,success,completed,Project Management ,SCWEST
4/30/2016 4:19,4/30/2016 4:11,32252,INR,10500,1470,53,12023,success,completed,Advanced Business Analytics with R,SCG7CR
4/30/2016 3:45,4/30/2016 3:45,32245,INR,8437,1181,42,9661,success,completed,Cloud Computing with AWS,SC0102
4/30/2016 3:35,4/30/2016 3:33,32243,INR,6755,946,34,7734,success,completed,Supply Chain Management,
4/30/2016 3:20,4/30/2016 3:15,32239,INR,8412,1178,42,9632,success,completed,Digital Marketing Certification,
4/30/2016 3:26,4/30/2016 3:03,32236,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
4/30/2016 6:42,4/30/2016 2:41,32233,INR,6000,840,30,6870,success,completed,Digital Marketing Certification,SCG7CR
4/30/2016 6:06,4/30/2016 2:11,32227,INR,3750,525,19,4294,failure,canceled,Certificate in Advanced MS Excel 2010,SCTOWERS
4/30/2016 2:32,4/30/2016 2:04,32226,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0111
4/30/2016 4:31,4/30/2016 1:14,32219,INR,48000,6720,240,54960,success,completed,CIMA - Advanced Diploma in Management Accounting ,SC0107
4/30/2016 2:41,4/30/2016 12:39,32213,INR,8412,1178,42,9632,success,completed,Digital Marketing Certification,SCTOWERS
4/30/2016 11:46,4/30/2016 11:32,32198,INR,8750,1225,44,10019,success,completed,Financial Modelling Using Excel,SCG7CR
4/30/2016 12:00,4/30/2016 10:58,32187,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,
4/30/2016 12:41,4/30/2016 10:21,32186,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0101
4/30/2016 10:04,4/30/2016 9:59,32182,INR,21000,2940,105,24045,failure,canceled,Digital Marketing Professional Program in association with Google,SCG7CR
4/29/2016 7:47,4/29/2016 7:36,32160,INR,8412,1178,42,9632,success,completed,Digital Marketing Certification,
4/29/2016 8:05,4/29/2016 7:27,32159,INR,7557,,,7557,success,completed,Digital Marketing Certification,SCG7CR
4/29/2016 6:39,4/29/2016 6:34,32145,INR,9088,1272,45,10406,failure,canceled,Business Analytics ,
4/29/2016 6:04,4/29/2016 5:56,32122,INR,2000,280,10,2290,success,completed,IT Foundation Skills with C Programming,
4/29/2016 8:00,4/29/2016 5:33,32119,INR,15000,2100,75,17175,success,completed,Big Data Analytics using Hadoop ,SC0101
4/29/2016 12:00,4/29/2016 5:12,32115,INR,9614,1346,48,11008,success,completed,Digital Marketing Certification,SCTOWERS
4/29/2016 5:10,4/29/2016 5:04,32112,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/30/2016 4:03,4/29/2016 4:44,32106,INR,24000,3360,120,27480,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
4/29/2016 4:10,4/29/2016 4:00,32097,INR,8750,1225,44,10019,success,completed,Financial Modelling Using Excel,SCG7CR
4/29/2016 3:42,4/29/2016 3:35,32093,INR,6754,946,34,7734,success,completed,Supply Chain Management,SCG7CR
4/29/2016 3:30,4/29/2016 3:29,32090,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SC0159
4/29/2016 3:31,4/29/2016 3:28,32089,INR,3750,525,19,4294,failure,canceled,Certificate in Advanced MS Excel 2010,
4/29/2016 3:32,4/29/2016 3:25,32088,INR,4361,611,22,4994,success,completed,Online Android App Development,
4/29/2016 5:33,4/29/2016 2:51,32077,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/29/2016 2:54,4/29/2016 2:37,32073,INR,6754,946,34,7734,success,completed,Cloud Computing with MS Azure,SCG7CR
4/29/2016 3:23,4/29/2016 2:36,32072,INR,6754,946,34,7734,success,completed,Supply Chain Management,SCG7CR
4/29/2016 1:21,4/29/2016 1:15,32057,INR,14000,1960,70,16030,success,completed,Advanced Digital Marketing,SCG7CR
4/29/2016 3:11,4/29/2016 1:13,32055,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
4/29/2016 1:11,4/29/2016 12:56,32051,INR,6000,840,30,6870,success,completed,Digital Marketing Certification,SCTOWERS
4/29/2016 12:45,4/29/2016 12:40,32041,INR,10595,,,10595,success,completed,Digital Marketing Certification,
4/29/2016 2:29,4/29/2016 12:40,32040,INR,9375,1313,47,10735,success,completed,Financial Modelling Using Excel,SC0100
4/29/2016 12:54,4/29/2016 12:28,32034,INR,8412,1178,42,9632,success,completed,Digital Marketing Certification,SCG7CR
4/29/2016 6:32,4/29/2016 12:09,32032,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/29/2016 12:05,4/29/2016 12:00,32028,INR,6755,946,34,7734,success,completed,Cloud Computing with MS Azure,
4/30/2016 2:35,4/29/2016 11:43,32024,INR,4361,611,22,4994,success,completed,Online Android App Development,SC0101
4/29/2016 11:15,4/29/2016 11:13,32015,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
4/29/2016 1:29,4/29/2016 11:05,32009,INR,6000,840,30,6870,success,completed,Business Analytics ,SCG7CR
4/30/2016 1:30,4/29/2016 10:49,32004,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0102
4/29/2016 10:36,4/29/2016 10:30,32001,INR,14000,1960,70,16030,success,completed,Advanced Digital Marketing,SCG7CR
4/29/2016 5:15,4/29/2016 10:26,31998,INR,10500,1470,53,12023,success,completed,PMP® Exam Preparatory Course,SC0114
4/29/2016 10:41,4/29/2016 9:52,31991,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/29/2016 10:08,4/29/2016 12:00,31983,INR,2000,280,10,2290,success,completed,Management Accounting,SCG7CR
4/28/2016 10:31,4/28/2016 10:21,31978,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0171
4/28/2016 9:20,4/28/2016 9:15,31969,INR,6250,875,31,7156,success,completed,Cloud Computing with MS Azure,
4/28/2016 9:13,4/28/2016 9:06,31966,INR,9518,1332,48,10898,success,completed,Project Management ,SCG7CR
4/28/2016 7:59,4/28/2016 7:53,31962,INR,2015,,,2015,success,completed,RDBMS Program with Oracle,SCG7CR
4/29/2016 10:31,4/28/2016 6:48,31933,INR,6362,891,32,7284,success,completed,Business Analytics ,SCG7CR
4/28/2016 5:55,4/28/2016 5:46,31917,INR,7500,1050,38,8588,success,completed,Digital Marketing Certification,SCTOWERS
4/28/2016 11:25,4/28/2016 5:40,31916,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/28/2016 5:51,4/28/2016 5:37,31915,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,
4/28/2016 5:21,4/28/2016 5:17,31903,INR,9088,1272,45,10406,success,completed,Business Analytics ,SCG7CR
4/28/2016 6:03,4/28/2016 5:10,31901,INR,10500,1470,53,12023,success,completed,Advanced Business Analytics with R,SCG7CR
