Transaction Date,Created Date,Order ID,Currency Code,Amount,Service Tax Collected,Swachh Bharat Cess,Order Total,Payment Status,Order Status,Course Title,SC ID
2016-05-27 12:00:00,2016-06-09 06:23:42,40587,INR,6328,886,32,7245,canceled,canceled,Becoming a Star Sales Person,
2016-05-31 11:30:00,2016-05-31 11:22:45,38816,INR,6000,840,30,6870,success,completed,IBPS PO SO MT Exam Prep Program,SC0158
2016-05-31 11:15:00,2016-05-31 11:14:42,38815,INR,27730,3882,139,31751,success,completed,PRINCE2® Foundation ,SC0135
2016-05-31 10:18:01,2016-05-31 10:06:28,38808,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-31 09:45:02,2016-05-31 09:40:01,38805,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-31 07:56:02,2016-05-31 07:48:07,38790,INR,3750,525,19,4294,failure,canceled,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-31 07:54:00,2016-05-31 07:43:13,38789,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-31 07:40:13,2016-05-31 07:36:50,38786,INR,3750,525,19,4294,failure,canceled,Certificate in Advanced MS Excel 2010,
2016-05-31 07:15:00,2016-05-31 07:18:57,38778,INR,6000,840,30,6870,success,completed,Bank Probationary Officer (PO) Exam Coaching,SC0176
2016-05-31 06:10:04,2016-05-31 06:00:45,38760,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-05-31 06:00:00,2016-05-31 05:58:24,38759,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,SC0114
2016-05-31 06:01:03,2016-05-31 05:57:01,38758,INR,6754,946,34,7734,success,completed,Supply Chain Management,SCG7CR
2016-05-31 07:07:05,2016-05-31 05:39:27,38752,INR,8412,1178,42,9632,success,completed,Digital Marketing Certification,SC0106
2016-05-31 05:48:19,2016-05-31 05:29:48,38746,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
