S.no.,Name of the show,Year of release,No of seasons available,Language,Genre,IMDb rating,Age of viewers
1,Pataal Lok,2020,1,Hindi,Drama,7.5,18+
2,Upload,2020,1,English,Sci-fi comedy,8.1,16+
3,The Marvelous Mrs. Maisel,2017,3,English,"Drama, Comedy",8.7,16+
4,Four More Shots Please,2019,2,Hindi,"Drama, Comedy",5.3,18+
5,Fleabag,2016,2,English,Comedy,8.7,18+
6,Made in Heaven,2019,1,Hindi,Drama,8.3,18+
7,Homecoming,2018,2,English,Drama,7.5,16+
8,Mirzapur,2018,1,Hindi,Drama,8.5,18+
9,The Family Man,2019,1,Hindi,"Drama, Action",8.6,18+
10,Modern Love,2019,1,English,"Drama, Romance, Comedy",8,16+
11,Inside Edge,2017,2,Hindi,"Sports, Drama",8,18+
12,The Boys,2019,2,English,"Action, Comedy",8.7,18+
13,Hanna,2019,2,English,"Drama, Action",7.5,16+
14,Hunters,2020,1,English,"Drama, Action, Suspense",7.2,18+
15,Breathe,2018,1,Hindi,"Drama, Suspense",8.4,16+
16,The Forgotten Army- Azaadi ke Liye,2020,1,Hindi,"Drama, Action",8,18+
17,Tom Clancy's Jack Ryan,2018,2,English,"Drama, Action, Suspense",8.1,16+
18,Tales from the Loop,2020,1,English,Sci-fi ,7.5,18+
19,The Test: A New Era for Australia's Team,2020,1,English,Documentary,9,16+
20,The Man in the High Castle,2015,4,English,"Drama, Suspense",8,18+
21,One Mic Stand,2019,1,Hindi,Comedy,6.5,16+
22,Undone,2019,1,English,"Animation, Drama",8.2,16+
23,American Gods,2017,2,English,"Sci-fi, Drama, Suspense",7.8,18+
24,The Tick,2018,2,English,"Comedy, Action",7.4,16+
25,Jestination Unknown,2019,1,Hindi,"Comedy, Arts, Entertainment, Culture",6.2,16+
26,Suits,2011,8,English,Drama,8.5,16+
27,Grey's Anatomy,2005,15,English,Drama,7.6,16+
28,The Mentalist,2009,7,English,Drama,8.1,16+
